number,name,office,position,uuid,Декларант/активи у дорогоцінних (банківських) металах/UAH,Декларант/активи у дорогоцінних (банківських) металах/USD,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/USD,Декларант/готівкові кошти/BGN,Декларант/готівкові кошти/CAD,Декларант/готівкові кошти/CHF,Декларант/готівкові кошти/CNY,Декларант/готівкові кошти/EUR,Декларант/готівкові кошти/GBP,Декларант/готівкові кошти/GEL,Декларант/готівкові кошти/HKD,Декларант/готівкові кошти/HUF,Декларант/готівкові кошти/JPY,Декларант/готівкові кошти/NOK,Декларант/готівкові кошти/PLN,Декларант/готівкові кошти/QAR,Декларант/готівкові кошти/RUB,Декларант/готівкові кошти/SAR,Декларант/готівкові кошти/UAH,Декларант/готівкові кошти/USD,"Декларант/кошти, позичені третім особам/EUR","Декларант/кошти, позичені третім особам/GBP","Декларант/кошти, позичені третім особам/UAH","Декларант/кошти, позичені третім особам/USD","Декларант/кошти, розміщені на банківських рахунках/CAD","Декларант/кошти, розміщені на банківських рахунках/CHF","Декларант/кошти, розміщені на банківських рахунках/DKK","Декларант/кошти, розміщені на банківських рахунках/EUR","Декларант/кошти, розміщені на банківських рахунках/GBP","Декларант/кошти, розміщені на банківських рахунках/GEL","Декларант/кошти, розміщені на банківських рахунках/RUB","Декларант/кошти, розміщені на банківських рахунках/UAH","Декларант/кошти, розміщені на банківських рахунках/USD",Декларант/інше/EUR,Декларант/інше/RUB,Декларант/інше/UAH,Декларант/інше/USD,Родина/активи у дорогоцінних (банківських) металах/UAH,Родина/активи у дорогоцінних (банківських) металах/USD,Родина/внески до кредитних спілок та інших небанківських фінансових установ/EUR,Родина/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Родина/внески до кредитних спілок та інших небанківських фінансових установ/USD,Родина/готівкові кошти/CAD,Родина/готівкові кошти/CHF,Родина/готівкові кошти/EUR,Родина/готівкові кошти/GBP,Родина/готівкові кошти/HUF,Родина/готівкові кошти/NOK,Родина/готівкові кошти/PLN,Родина/готівкові кошти/RUB,Родина/готівкові кошти/UAH,Родина/готівкові кошти/USD,"Родина/кошти, позичені третім особам/EUR","Родина/кошти, позичені третім особам/UAH","Родина/кошти, позичені третім особам/USD","Родина/кошти, розміщені на банківських рахунках/CAD","Родина/кошти, розміщені на банківських рахунках/CHF","Родина/кошти, розміщені на банківських рахунках/EUR","Родина/кошти, розміщені на банківських рахунках/GBP","Родина/кошти, розміщені на банківських рахунках/RUB","Родина/кошти, розміщені на банківських рахунках/SEK","Родина/кошти, розміщені на банківських рахунках/UAH","Родина/кошти, розміщені на банківських рахунках/USD",Родина/інше/EUR,Родина/інше/RUB,Родина/інше/UAH,Родина/інше/USD
63076,Шевяков Ігор Сергійович,Полтавський окружний адміністративний суд,суд,5b115132-63be-44eb-92c5-9a3fdd3ce6f2,,,,,,,,,,,,,,,,,,,,40000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83404,Марченко Юлія Іванівна,господарський суд Луганської області,судді,b23bfde6-68c3-49f5-bb3f-d216fd9e9efd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38370,Космачевська Тетяна Вікторівна,Апеляційний суд Донецької області,Суддія,38dd8d6a-4145-43ee-a760-10de6231c061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42107,Биліна Тетяна Іванівна, Апеляційний суд Донецької області,суддя,66d68215-6ffa-49cd-996f-ebffbf84f688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14522,Симаченко Лілія Іванівна, Апеляційний суд Закарпатської області,суддя,841166df-1dcb-48cb-8e8f-bd83a1907c32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,,,,,
1783,Подліянова Ганна Степанівна, Апеляційний суд Запорізької області ,суддя,7b898a3c-61a2-448d-93db-4a8cf1b2fb20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47397,Димарецький Віктор Михайлович, Апеляційний суд Київської області,суддя,9aac9396-73ce-41e2-ae01-c99077a57764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80719,Музичко Світлана Григорівна, Апеляційний суд м. Києва,Суддя,26fe249f-141c-4434-9137-f5cc2fb215ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57764,Гончаренко Валентина Михайлівна, Апеляційний суд Одеської області,суддя,a95ab984-57ba-4663-924e-b17f7f56aae7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43177,Базіль Людмила Володимирівна, Апеляційний суд Херсонської області,суддя,79d2196a-78a9-470e-92c3-f8b4a33a6efc,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,8047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
