name,office,position,professionGroup,uah,usd,gbp,eur,total,region
Абдуллін Олександр Рафкатович,Верховна Рада України,народний депутат України,deputat,3864899,750000,,140000,1051249,
Абрамченко Андрій В'ячеславович,виконавчий комітет Ізмаїльської міської ради,Ізмаїльський міський голова,golova,1346757,200000,,,251798,
Аваков Арсен Борисович,Міністерство внутрішніх справ,Міністр,ministerstvo,2145967,453000,2100,148000,699377,
Авдан Роман Костянтинович,Волноваська місцева прокуратура Донецької області,Заступник керівника,prokuratura,444205,4022,,4564,26081,Донецьк
Авдєєнко Олександр Андрійович,Прокуратура міста Києва,Керівник Київської місцевої прокуратури № 6,prokuratura,,25000,,23000,50070,Київ
Авер'янов Антон Миколайович,Прокуратура Київської області,Начальник першого відділу управління процесуального керівництва слідчих регіональної прокуратури,prokuratura,1340000,320000,,,371538,Київ
Аверкова Вікторія Вікторівна,Окружний адміністративний суд міста Києва,Суддя,suddia,660000,18732,,14500,59921,
Авраменко Євгеній Володимирович,Генеральна прокуратура України ,"Заступник начальника департаменту інформаційних технологій, документообігу та матеріально-технічного забезпечення",prokuratura,1500000,50000,,4787,112910,
Авраменко Микола Григорович,Апеляційний суд Київської області,суддя,suddia,1776827,,,,68339,Київ
Агафонова Наталія Володимирівна,Верховна Рада України,народний депутат України,deputat,999002,43000,,,81423,
Агєєв Олександр Володимирович,Апеляційний суд донецької області,суддя,suddia,319785,15248,,,27547,Донецьк
Адамець Володимир Миколайович,Бродівська районна державна адміністрація,Перший заступник голови Бродівської районної державної адміністрації,golova,,26000,,13000,40170,
Адамов Асен Семенович,Ізмаїльський міськрайоний суд Одеської області,суддя,suddia,100000,60000,,,63846,Одеса
Алексейченко Юрій Олексійович,Індустріальна районна у місті Дніпро рада,Голова ради,golova,1000000,55000,,125000,229711,Дніпропетровськ
Алексєєв Ігор Сергійович,Верховна Рада України,Народний депутат України,deputat,100000,60000,,,63846,
Аленін Олександр Юрійович,Одеський апеляційний господарський суд,суддя,suddia,914100,87000,,75000,203907,Одеса
Алєксєєв Віктор Олексійович,Одеський апеляційний адміністративний суд,Суддя,suddia,583392,,,6361,29371,Одеса
АЛЄКСЄЄВ СЕРГІЙ ОЛЕГОВИЧ,Верховна Рада України,Народний депутат України,deputat,118464,1550000,,,1554556,
Алєксєєва Наталія Юнівна,Полтавський окружний адміністративний суд,суддя,suddia,50000,111454,,,113377,Полтава
Алєксєйчук Олександр Віталійович,прокуратура Харківської області,"начальник відділу нагляду за додержанням законів у сфері протидії корупції та процесуального керівництва у кримінальних провадженнях про корупційні правопорушення управління нагляду за додержанням законів спецпідрозділами та іншими органами, які ведуть боротьбу з організованою злочинністю і корупцією ",prokuratura,,50000,,,50000,Харків
Аліменко Володимир Олександрович,Київський апеляційний адміністративний суд,Суддя,suddia,290000,22200,,,33353,Київ
Аліменко Юрій Олександрович,Калинівський районний суд Вінницької області,суддя,suddia,225000,29000,,,37653,Вінниця
Альоша Антон Вікторович,Військова прокуратура Харківського гарнізону,Старший слідчий військової прокуратура Харківського гарнізону,prokuratura,,50000,,,50000,Харків
Альошин Валерій Борисович,Конституційний Суд України,заступник керівника Секретаріату,suddia,72000,34000,,20000,58569,
Амельченко Василь Васильович,"Верховна Рада України, Комітет з питань бюджету","народний депутат України, перший заступник голови Комітету з питань бюджету ВРУ",deputat,5012000,155000,,,347769,
Амплеєв Олександр Володимирович,Генеральна прокуратура України,"прокурор відділу нагляду за додержанням законів при провадженні оперативно-розшукової діяльності, досудового розслідування та підтримання державного обвинувачення управління нагляду за додержанням законів органами фіскальної служби Департаменту нагляду у кримінальному провадженні ",prokuratura,,31000,,,31000,
Андарак Роман Валентинович,Міністерство закордонних справ України,"Начальник відділу юстиції, свободи та безпеки, гуманітарного та транскордонного співробітництва Департаменту Європейського Союзу",ministerstvo,164641,2500,,62311,76751,
Андрес Роман Іванович,Золочівська місцева прокуратура Львівської області,Заступник керівника Золочівської місцевої прокуратури Львівської області,prokuratura,,49650,,5050,55154,Львів
Андрєєв Андрій Васильович,Прокуратура міста Києва ,Заступник прокурора міста Києва ,prokuratura,321356,80256,,,92615,
Андрієвський Дмитро Йосипович,Верховна Рада України,Народний депутат України,deputat,30932317,,,16975,1208207,
Андрієнко Антоніна Миколаївна,Апеляційний суд міста Києва,суддя,suddia,200000,105000,,,112692,
Андрієнко Володимир Васильович,Київський апеляційний господарський суд,Заступник голови,golova,,76500,,3000,79770,Київ
Андріів Богдан Євстафійович,Ужгородська міська рада,Міський голова,golova,21395955,,,,822921,Закарпаття
Андрійцьо Василь Дмитрович,Закарпатський окружний адміністративний суд,суддя,suddia,750000,,,,28846,Закарпаття
Андросович Любов Григорівна,Слідче управління фінансових розслідувань ДПІ у Печерському районі Головного управління ДФС у м.Києві,Начальник слідчого управління фінансових розслідувань ДПІ у Печерському районі Головного управління ДФС у м.Києві,slidchi,80000,142000,,,145076,
Андрусяк Павло Васильович,Галицька районна рада,голова галицької районної ради,golova,,31000,,,31000,
АНДРУЩЕНКО ДМИТРО ЛЕОНІДОВИЧ,Департамент патрульної поліції,інспектор патрульної поліції 10 роти 4 батальйону УПП у м.Киеві ДПП,slidchi,390000,10000,,,25000,
Антипов Костянтин Євгенійович,Київська місцева прокуратура № 3 прокуратура міста Києва,Керівник Київської місцевої прокуратури № 3,prokuratura,680316,,,,26166,Київ
Антіпов Євген Вікторович,Броварська ОДПІ ГУ ДФС у Київській області,начальник слідчого відділу фінансових розслідувань,slidchi,4090000,,,,157307,Київ
Антоненко Наталія Олександрівна,Апеляційний суд міста Києва,суддя,suddia,130000,42000,,,47000,
Антонець Ольга Вадимівна,Генеральна прокуратура України,прокурор Генеральної прокуратури України,prokuratura,146165,37048,,9841,53396,
Антонищак Андрій Федорович,Верховна Рада України,народний депутат України,deputat,200000,30000,,,37692,
Антонюк Анна Петрівна,Ковельська місцева прокуратура Волинської області,прокурор Ковельської місцевої прокуратури,prokuratura,500000,,,12000,32310,Луцьк
