posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" Директор, Товариство з обмеженою відповідальністю ""Палпатін фінанс груп""",палпатін дмитро вікторович,63ad9237-2b3c-45fd-9a78-1a00a12a7f13,0,"TOYOTA LAND CRUISER, Hundai Grandeur",158641,3564840813,0,0,698700
" Народний депутат України, Верховна Рада України",голубов дмитро іванович,7fba02ab-3f00-484c-aa24-f4a2cf59fc73,2,0,246002,2066431943.1375,0,62.7,0
" ПРЕЗИДЕНТ УКРАЇНИ, АДМІНІСТРАЦІЯ ПРЕЗИДЕНТА УКРАЇНИ",порошенко петро олексійович,c9e4d7dd-d6b7-44b8-9e26-12e756d36e04,8,"Mercedes-benz  Vito 116 CDI, Jaguar XF 4/2 Lv8",16939286,822218104.0535,56291,4525.07,895789
" Народний депутат України, Верховна Рада України",котвіцький ігор олександрович,cc3adf4b-bf24-4251-9e65-7fefd0b62f34,2,"Can-Am SSV Commander LTD, Brabus B63-620, HEKU ANH, Toyota Land Cruiser 200",195751746,799090109.36433,0,2006.55,134330
" Голова Миколаївської обласної державної адміністрації , Миколаївська обласна державна адміністрація",савченко олексій юрійович,fc3f1bf8-7397-482d-bc36-bbdd1d4f2093,1,TOYOTA LAND CRUISER 200,4942574,656806232.81164,54799,186.2,2609000
" депутат Харківської міської ради, ХАРКІВСЬКА МІСЬКА РАДА",давтян олександр саркісович,5ac12688-b5f5-4991-9d55-15b4a4734af4,1,"LAND ROVER RANGE, LAND ROVER RANGE, MERCEDES-BENZ GLS 500 4MATIC, MERCEDES-BENZ S 500 4MATIC",2238311,599814383.10084,5682,2056.4,3193204
" Народний депутат України, Верховна Рада України",хомутиннік віталій юрійович,82d09e1b-b708-4371-a92d-e026f9de58de,2,"Toyota Tundra, Range Rover Land Rover, Lexus  LX570, Lexus  LS600H",149737957,555293364.13898,0,1022.45,0
" Народний депутат України, Член Комітету Верховної Ради України з питань національної безпеки і оборони, Верховна Рада України",богуслаєв вячеслав олександрович,f157958b-b412-4159-99de-2d28d35b23c3,2,0,43547023,552394804.66146,1500,2834,0
" Народний депутат України, Голова підкомітету, Верховна Рада України",дерев’янко юрій богданович,220fd44a-6b67-4d87-9055-47b475ef10be,2,"TOYOTA LAND CRUISER 200, LAND ROVER  RANGE ROVER 4.2 , Land Rover Range Rover, MERCEDES BENZ S 500 4 MATIC, LEXUS RX 450H",573865,444912011.32676,139380,4356.56,2375947
" Депутат, Київська Міська рада",левін володимир ілліч,5c79a413-d3e8-425c-a1fa-5ede0d168228,1,"Mercedes0Benz E 220 d E 220d, Mercedes-Benz ML 250 BlueTEC 4MATIC",1076954,433331013.39894,783,1611.03,2940606
" Помічник-консультант народного депутата, Управління справами Верховної Ради України",петренко микола миколайович,648f305e-6cf2-495a-904b-e767745c0ae8,2,0,17079576,397966512.7,4930,1201.8,0
" Президент (депутат), Харківська торгово-промислова палата (Харківська обласна рада)",звєрєв віктор олександрович,b19ee35c-2458-4657-baa5-14bbeaf97d97,1,"тойота ленд крузер, тойота хайлендер, краз",446781,327992928.1004,11035,635.7,0
" народний депутат України, Верховна рада України",дубневич ярослав васильович,5ac3c237-a0cf-4208-9f07-d4d3fe6ef2bb,2,"Toyota Sequoia, Mercedes-Benz S 500L 4matic",17094540,313955372.70249,269709,13109.05,0
" Київський міський голова, Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації)",кличко віталій володимирович,d91c87b5-931e-4b66-b9f5-544bfe1ba023,1,"Coratec Revolution, Scott Genius 700 Plus Tuned Bike, Toyota Sequoia, Scott Addict CX10, Scott Spark RC, Scott Genius, Cannondale, Scott Big Jon, Coratec Inside link carbon, Land Rover Discovery 3.0, Fine Custom Puncher 8.125-4, Scott Spark 700 Plus Tuned Bike , Ironhorse Widebody",5140932,302596680.44612,2500,1037.3,3032697
" Народний депутат України, Верховна Рада України",микитась максим вікторович,f816e822-3ce7-4a52-9a0a-21b7bbbca1ec,2,"Mercedes-Benz S 500 4 Matic, Land Rover Range Rover (L405), Mercedes-Benz S 500",335084138,295324528.1,13715,2402.55,7729911
" ДЕПУТАТ, КИЇВСЬКА МІСЬКА РАДА",яловий костянтин володимирович,fa78c3ae-f14d-48ca-8ce1-fcca14de5b7e,1,"MERCEDES-BENZ ML 350, MERCEDES-BENZ CL 500",6174444,295305284.77256,1391,1477.6,100
" Народний Депутат України, Верховна Рада України",константіновський вячеслав леонідович,00e83221-8726-4bb6-9436-87a250cc46ec,2,"Об 03, Toyota  Highlander, Toyota LC200, Mercedes-benz G350D, Harley Davidson V-Rod Mascle",3928573,281317094.96882,13700,992.14,7110700
" Депутат Одеської обласної ради 7 скликання, Одеська обласна рада",кутателадзе олег джумберович,df544556-557f-41f3-96f1-afa0a3f69834,1,0,151577793,279391285.14161,833275,3154.4,0
" Народний депутат України, Верховна Рада України",загорій гліб володимирович,66d0fd4e-79e7-42e3-9f01-ef2887e91a5d,2,"TESLA SP85D, MERCEDES-BENZ G63 AMG, MERCEDES-BENZ S63 AMG, LAND-ROVER RANGE ROVER",399042050,254213682.95068,40778,1378,10112980
