name,id,office,position,professionGroup,uah,usd,gbp,eur,total,region
Абдуллін Олександр Рафкатович,b3e59048-ead5-48ea-a976-8b6a26b373db,Верховна Рада України,народний депутат України,deputat,3864899,750000,,140000,1051249,
Абрамченко Андрій В'ячеславович,0b755e44-fa60-4721-8a82-b418ec7df871,виконавчий комітет Ізмаїльської міської ради,Ізмаїльський міський голова,golova,1346757,200000,,,251798,
Аваков Арсен Борисович,87be7137-ff68-40df-9c5e-a05d7a1b5a9c,Міністерство внутрішніх справ,Міністр,ministerstvo,2145967,453000,2100,148000,699377,
Авер'янов Антон Миколайович,ca98bc62-1dc6-49bf-a26e-00f4becb0d3a,Прокуратура Київської області,Начальник першого відділу управління процесуального керівництва слідчих регіональної прокуратури,prokuratura,1340000,320000,,,371538,Київ
Авраменко Євгеній Володимирович,4035721e-d538-4293-be41-42ba74da7fbb,Генеральна прокуратура України ,"Заступник начальника департаменту інформаційних технологій, документообігу та матеріально-технічного забезпечення",prokuratura,1500000,50000,,4787,112910,
Айхель Олена Вікторівна,7172a9fd-29b8-4a28-9950-2b65667bc996,Державна архітектурно-будівельна інспекція України,начальник відділу методичного забезпечення та взаємодії з територіальними органами Департаменту нормативно-правового забезпечення,inspector,250000,15000,,,24615,
Алексейченко Юрій Олексійович,6abbdebd-df8a-4ab5-a2b0-027130444711,Індустріальна районна у місті Дніпро рада,Голова ради,golova,1000000,55000,,125000,229711,Дніпропетровськ
Аленін Олександр Юрійович,17f16d6d-b781-4764-92bb-a02c679b7e65,Одеський апеляційний господарський суд,суддя,suddia,933759,87569,,75000,205232,Одеса
АЛЄКСЄЄВ СЕРГІЙ ОЛЕГОВИЧ,bc4e22d5-3bea-4198-9bc2-a06fb40b280d,Верховна Рада України,Народний депутат України,deputat,118464,1550000,,,1554556,
Андрєєв Андрій Васильович,69543e53-02b1-4817-a51e-336ae424edab,Прокуратура міста Києва ,Заступник прокурора міста Києва ,prokuratura,321356,80256,,,92615,
Андрієвський Дмитро Йосипович,884e2433-4331-490a-b118-6f63e728322f,Верховна Рада України,Народний депутат України,deputat,30932317,,,16975,1208207,
Андріів Богдан Євстафійович,61985d83-b800-41dd-9f03-a86005446e00,Ужгородська міська рада,Міський голова,golova,21395955,,,,822921,Закарпаття
