posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" Депутат Кам'янської міської ради, Кам'янська міська рада",боговик сергій леонідович,12fa2002-416e-4f02-8757-391c4173fd67,1,"Mitsubishi canter Фургон-рефрежиратор, Toyota lend cruiser 150 Загальний легковий універсал-В, Porsche Macan R4 універсал-В",1162399,25289745.02,31120,19962.15,0
" депутат сільської ради, Вороньківська сільська рада",мазецький олег степанович,eeeb761f-17e3-4bfd-bbaf-9a38323119f5,1,"Т-25, JCB 3CX, ВАЗ 11183, МАЗ 8114",46994,0,0,19898.8,0
" депутат Сумської обласної ради, Сумська обласна рада",линник олександр миколайович,a7a68c2a-0e0b-428a-9dae-e46b4b475919,1,"TOYOTA Avensis 1.8, KRONE SDP 27, SUZUKI Grand Vitara, VOLVO FH 12, VOLVO XC90 2.4 Summum 7-Seat, TOYOTA Scion ЗНГ",9830909,0,7152146,19875.3,825842
" Депутат Грушовецької сільської ради Кельменецького району Чернівецької області, Депутат Грушовецької сільської ради Кельменецького району Чернівецької області",волошин василь дмитрович,bcdd9e4b-ddc6-4f77-a603-c4d2887cd95c,1,Opel Omega,46700,0,7799,19830.5,0
" депутат сільської ради, Крутеньківська сільська рада",стрижиборода раїса василівна,64ba7edf-1975-4386-a60c-9a5157d5a6c2,1,0,51307,0,0,19800,0
" сільський депутат, пенсіонерка",занфірова валентина василівна,7e4b46cd-0d5b-4441-965a-b6b8110ebca4,0,0,63012,0,0,19738.3,0
" Депутат, Депутат Саратської районної ради Одеської області 7-го скликання",георгієв георгій георгійович,077801b4-eae6-429b-8309-0b8f1fbe651f,1,"Mercedes-Benz Sprinter 213, Mercedes-Benz Sprinter311, ВАЗ 21099, Ford Transit, Фотон, Камаз 5320, audi q7, ЗАЗ 110557",808962,4065658.3,3067,19640.3,187830
" Голова районної ради, депутат районної ради, Юр'ївська районна рада",буряк олександр миколайович,e5b20cea-746a-4904-93c5-56918843d88b,1,"Mitsubisi Pajero Sport, Opel Vivaro, Toyota LAND CRUISER 200, Mitsubisi  Pajero",688845,205058,324627,19618.3,0
" Депутат округу № 6 Новоселидівської сільської ради Мар*їнського району Донецької області, Пенсіонерка",терещенко ганна григорівна,233e1a0a-be84-48c1-9f8c-3937b6ef8659,1,ВАЗ 21063,28575,0,0,19565.4,0
" депутат Мангушської районної ради, Працює на своїй землі",романченко сергій володимирович,60425bae-a484-4715-a9b1-ad6d383d6c11,1,"МТЗ-80, 1ПТС-2, Т-150К, МТЗ-80, SUBARU FORESTER, Т-25А, ВАЗ 212140-147-20, 2ПТС-4",78362,0,513447,19523,594167
" сімейна медична сестра, депутат, Козацька АЗПСМ, Бочечківська сільська рада",бондар євгенія олександрівна,05921334-9008-46d1-9b0a-b5432288a0ae,1,0,196489,0,48753,19503,0
" депутат, Довжанська сільська рада",смиченко володимир олександрович,b5037d36-1c6e-498e-a463-ae4d1772f994,1,ваз 21063,71046,0,0,19500,0
" депутат сільської ради, пенсіонер",крива марія миколаївна,9306cf60-8a73-4b15-95df-871a6afad607,1,МТЗ 80,83807,0,70200,19500,0
" депутат районної ради, Самбірська районна рада Львівської області",куйдич андрій омелянович,613a66b6-6c2c-4481-8a67-aa9072e6b117,1,"Almarine  14EL, HEINEMANN ВАЗ5, Renoult Megars Sanic, RENAVLT LAGUNA, Suzuki GM51B, Toyota RAVU, Opel Vivaro, ГАЗ 33073, FORD SIERRA",890883,860244.595,11953,19498,53930
" Депутат селищної ради, Лугинська селищна рада",білецька ольга іванівна,2074823e-14f0-4158-bca3-adecab6ee238,1,0,116921,0,0,19491,0
" депутат сільської ради, особисте селянське господарство",шварчовський ігор степанович,846f2b2b-8b85-4804-b3ef-819355b33460,1,"Трактор Т-25, Трактор МТЗ-82.1.26, ВАЗ 2101",36005,0,37300,19489.6,0
" Депутат сільської ради, Житницька сільська рада",кононюк людмила петрівна,9a11b8f5-2a18-45bf-a856-1381c5113cd5,1,0,134786,0,23.99,19460,0
" депутат, Пеняківська сільська рада",бакай анна миронівна,f29daa76-2a97-426a-9c02-bbdeb0602a76,1,Volkswagen Passat,56249,0,0,19400,0
" міський депутат, Депутат міської ради м. Іршава",станко олександр іванович,c488c0d4-e466-44e6-beb6-ab5cdaaaa9aa,1,"KOGEL SN24, RENAULT RVI, KOGEL SN24, RENAULT 11GTA141, SCHWARZMULLER SPA, SCHWAZMULLER SPA, FLIEGL SDS350, MITSUBISHI PAJERO3, SCHWARZMULLER SPA3E, MERCEDES-BENZ 1844LS, FLIEGL SDS350, RENAULT 11GTA, RENAULT MAGNUM480",3523166,0,1063,19275,0
" Засновник, Депутат Рожищенської міської ради Волинської області, ПП ""Граніт Буд Сервіс"", Депутат Рожищенської міської ради Волинської області",богдан антон васильович,58342ef7-4957-4a6c-9063-37d9db085243,1,Subaru Forester,72638,0,1000,19248.8,0
" спеціаліст із земельних питань сільської ради , депутат Дмитрівської сільської ради, Дмитрівська сільська рада, Нікопольського району, Дніпропетровської області",нарікова леся павлівна,8e347090-f6c4-498c-9889-8558d5420b83,1,ЗАЗ 1102,81465,0,120056,19173.4,0
" депутат, Голова ФГ",дудник володимир федорович,fd24d604-28bd-43dc-8f26-5f71f5e3f09f,0,трактор ЮМЗ6,9600,0,4000,19090.3,0
" Касир-бухгалтер, депутат сільської ради, Миролюбненська сільська рада",соломюк ірина олексіївна,174bea96-65a0-4c89-94bd-f995c346b3d0,1,ДТЗ 244.4,49167,0,0,19000,0
" Депутат, Богодухівська районна рада",скорик олександр олексійович,4f7f208e-fa18-4c5a-95e3-a121cdfcb4bb,1,"HYUNDAI HD78, Mercedes-Benz  Sprinter , Mersedes-Benz Atego 1322, VOLKSWAGEN TRANSPORTER, SCANIA G380, ГАЗ 3302-701, HYUNDAI  HD7855-01, SCANIA G410, HYUNDAI HD7855-01, Mercedes-Benz  Atego, Land Rover Range Rover Sport, MERCEDES-BENZ  ACTROS 2544, Hyundai HD78, Mersedez-Benz Atego 1322, NISSAN LEAF, Opel Vivaro, Mercedes-Benz  Sprinter 313 CDI , Mercedes-Benz  Sprinter, ГАЗ 2705, Pezzaioli sba-63, Hyundai HD 65, Hyundai HD78, SCANIA G460, Volkswagen  Transporter, Hyundai HD 72 , Mersedes-Benz Sprinter, Volvo FMX, MERCEDES-BENZ Atego, MAN TGA 26.400, Mersedes-Benz Sprinter, Lexus LX 450, Wiese TA-18CS-J, Lamberet Lvfs-3f , Mercedes-Benz  Atego 818, Mercedes-Benz  Sprinter, Hyundai HD65, MERCEDES-BENZ ATEGO 818L, MERCEDES-BENZ 311, MERCEDES-BENZ 416CDI SPRINTER, ГАЗ 3302, Mercedes-Benz  970.01 , Land Rover Range Rover, ГАЗ 3302 14, MERCEDES-BENZ 917, ГАЗ  AC-G 3309, Hyundai  H600, Mercedes-Benz  Sprinter, HYUNDAI HD65, MERCEDES-BENZ 814D",11268841,4867443.25847,184525,18948.8,0
" Депутат сільської ради, Цибульківська сільська рада",кіріченко любов валентинівна,2daad21f-a0cd-451b-b247-91df036c268c,1,0,22294,0,2500,18857.9,0
" Генеральний директор ТОВ ""Южноє"", голова ФГ ""Подсолнух"", депутат Великоновосілківської районної ради Донецької області, Товариство з обмеженою відповідальністю ""ЮЖНОЄ""",онуфрієнко геннадій вікторович,7db4e84b-ee3a-4537-af7e-dcf69f2d39cc,1,"САЗ 3507ЗНГ, DAF CF 85, toyota prado, ГАЗ 6611, HYUNDAI TUCSON, ОДИСЕЙ 5, КАМАЗ 5511, ПГ 02-И, КАВЗ685, ГАЗ 32213-414, MUNSTERLAND 545K2",2228473,760000,2234563,18742.44,1507000
" депутат Рівненської сільської ради, Рівненська сільська рада",яковлєв валерій миколайович,2a527198-9a08-4ff2-89e0-08f7f7c32e60,1,0,72458,0,20000,18738.4,0
" депутат сільської ради, підприємець",кадимова ельвіра шихзада кизи,8255419f-df7e-467b-9956-cc4ad321b283,1,ВАЗ 210994-20 Легковий Седан-В,251450,0,47059,18681.3,0
" комірник, депутат велимченської сільської ради, НВК ""ЗОШ І ІІІ ступеня - дитячий садок"" с. Велимче, Велимченська сільська рада",півень анатолій ісакович,a66a6c7b-73d7-40cf-b3e6-60de63a70dc7,1,Opel Combo,95367,0,2500,18598,0
" Депутат сільської ради, Педосівська сільська рада",петренко борис петрович,ec66faa2-4543-4bd0-9f33-98cd0eb3d454,1,Т-25,103709,0,15500,18537,0
" Депутат., Приватний підприємець.",шинкарук петро калістратович,d6b4098e-2ac5-434d-bd67-220f4ffcdbeb,0,МТЗ 82,94698,0,19500,18513,0
" депутат сільської ради, КЗ Бережинська ЗШ І-ІІІ ступенів",заніздра світлана вікторівна,1f9834e1-ad11-4385-b917-f745c5ebac20,1,0,111805,0,0,18512.02,0
" Приватний підприємець (депутат Верхньомайданської сільської ради Надвірнянського району), Приватний підприємець",вовчук євдокія федорівна,47a22feb-7868-427e-875a-cd2fcff48db4,1,0,49864,0,800,18480,0
