posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" народний депутат України, ВЕРХОВНА РАДА УКРАЇНИ",фельдман олександр борисович,3269aadc-33f1-4df5-ac8e-1c6617c108b4,2,"SMW CHAPPER, LAND ROVER RANGE ROVER",572685202,76780067.285038,67507,2508.1,1665000
" Народний депутат України, Верховна Рада",єфімов максим вікторович,2a4fe4ac-3364-4702-b7f3-0fcac4eb1719,2,"Lexus GX 470, Lexus GX 460, Bombardier RXP X RS 260 hp (3,31 м), Land Rover Range Rover Sport",463784745,160278179.86,494528,5436.7,1254712
" Народний депутат України, Верховна Рада України",загорій гліб володимирович,66d0fd4e-79e7-42e3-9f01-ef2887e91a5d,2,"TESLA SP85D, MERCEDES-BENZ G63 AMG, MERCEDES-BENZ S63 AMG, LAND-ROVER RANGE ROVER",399042050,254213682.95068,40778,1378,10112980
" Народний депутат України, Верховна Рада України",микитась максим вікторович,f816e822-3ce7-4a52-9a0a-21b7bbbca1ec,2,"Mercedes-Benz S 500 4 Matic, Land Rover Range Rover (L405), Mercedes-Benz S 500",335084138,295324528.1,13715,2402.55,7729911
" Народний депутат, Верховна Рада України",новинський вадим владиславович,da4751c5-5375-45ed-865c-0327e4709f03,2,"Mercedes Benz S 560 4MATIC, Mersedes-Benz GL-550, Mersedes-Benz S-500 4MATIC, Mersedes-Benz 500-SL, AUDI Q5, Mersedes-Benz S-600, Mersedes-Benz V 250 d AVG/E, Mersedes-Benz CL-500 4MATIC",311270881,85160922.048363,62386,4785.2,7195739
" Народний депутат України, Верховна Рада України",котвіцький ігор олександрович,cc3adf4b-bf24-4251-9e65-7fefd0b62f34,2,"Can-Am SSV Commander LTD, Brabus B63-620, HEKU ANH, Toyota Land Cruiser 200",195751746,799090109.36433,0,2006.55,134330
" Депутат Одеської обласної ради 7 скликання, Одеська обласна рада",кутателадзе олег джумберович,df544556-557f-41f3-96f1-afa0a3f69834,1,0,151577793,279391285.14161,833275,3154.4,0
" Народний депутат України, Верховна Рада України",хомутиннік віталій юрійович,82d09e1b-b708-4371-a92d-e026f9de58de,2,"Toyota Tundra, Range Rover Land Rover, Lexus  LX570, Lexus  LS600H",149737957,555293364.13898,0,1022.45,0
" Народний депутат УКраїни, Верховна Рада України",мартиняк сергій васильович,31e8d4f4-bcf7-423b-9ae8-e4582a512045,2,"Porshe Cayenne, Volkswagen Multivan 7H, FERRARI F149/BD/EL, BMW X5",146945787,238497797.87568,7639,2082.3,6292917
" депутат Арцизької районної ради , Арцизька районна рада",паращенко сергій сергійович,ee04061d-22de-4e9e-bec7-95e0595f498e,1,"JOHN DEERE 9640WTS, LEXUS LX 570",126229169,27889750.489,45319,2428.5,1500000
" депутат Одеської обласної ради 7 скликання, Одеська обласна рада",паращенко сергій володимирович,0c199ac1-7c5e-46ff-84bf-cb795c87a4d5,1,"LEXUS LX 570, JOHN DEERE 9640WTS",126229169,27889750.489,45319,2428.5,1500000
" депутат дрогобицької міської ради, Дрогобицька міська рада",муль роман миколайович,09834d14-4017-4f1a-8de1-53a0fcf5b34f,1,"ЗІЛ 130СПГ, mercedes-bens SPRINTER 308CDI, Opel Combo-B-LFW, volksvagen passat В6, ГАЗ 2705, ЗІЛ 431610, MERCEDES-BENZ SPRINT, ГАЗ 3307 СПГ",122491068,453738,13818,5375.1,718035
" депутат Харківської міської ради, Харківська міська рада",фельдман олександр олександрович,fca7dbdf-ad21-43a8-aaf2-620995777d4a,1,"MERCEDES-BENZ 315 SPRINTER, MERCEDES-BENZ S 550L 4MATIC, LAND ROVER RANGE ROVER, LAND ROVER RANGE ROVER, HARLEY DAVIDSON V-ROD",121642112,10439697.29565,7320,550,9115876
" Депутат Харківської Міської Ради, Харківська Міська Рада",ларченко віктор миколайович,e163b5e8-9399-4ccf-8554-9a0b7ff35828,1,"TOYOTA VENZA, MERCEDES-BENZ S 550L 4MATIC",117375041,21937004.65,18100,650.6,320000
" депутат Сільської ради, Підприємець",васильєв володимир іванович,bac034bb-89e6-4411-8790-fa5e8bfc750f,1,"Masda-3, Hyndai TUKSON, САЗ 3502, МТЗ-80, Беларус-892",96330992,0,121200.53,77.3,49000
" не займаю, не працюю",бондаренко юрій юрійович,538260ef-2dcb-40e2-8f41-0e4bcd92296d,0,"Toyota Camry, ВАЗ 21099, ГАЗ 33021",95326570,0,1153,845.2,338000
" Голова, Національний Банк України",гонтарева валерія олексіївна,3e3129c5-a18a-4e4e-884b-2bb7d58e175d,10,"Porsche Panamera, Mercedes Benz G55, Porsche Cayenne",90999926,140153648.10346,5155,1249.8,3076380
" депутат Филенківської сільської ради, Филенківська сільська рада Чутівського району Полтавської області",міндіашвілі аліна володимирівна,85231529-758d-41a0-b30c-2c9a3a205ed6,1,"RENAULT KANGOO1461, Т-150К-09, МТЗ80, ГАЗ 33076, T-150K-09, ХТЗ17021, ПС 10, Беларус-892, RENAULT KANGOO1461, МТЗ80-л, ЗПТС-12, ВАЗ 212140-120-40, CLASS JAGUAR860, LEXUS LX 570, ГАЗ-66 4750, Беларус-892, FORTSCHRITT E-281, КАМАЗ 55102, Беларус-892, ВАЗ 210994, Беларус-892, Т-150К-09, Белорус-892, SKODA  OCTAVIA A5 AMBIENTE, ЗИЛ 431410, МТЗ80-л, КАМАЗ 45144, MERCEDES-BENZ GL500, ВАЗ 21214ЗНГ, ЗИЛ 554М, ВАЗ 21214-126-20, Беларус-892, CASE ІН 2388, КАВЗ 685, КАМАЗ 53212, HOLMER, RENAULT  KANGOO1461, CASE AFX8120, RENAULT KANGOO1870, КАВЗ 3976, МТЗ80, МТЗ80-л, ЗИЛ 133ГЯ, CASE IH MAXXUM 125, ХТЗ17021, Беларус-1221.2, МТЗ82, Т-156, ХТЗ17021, МТЗ80-л, Беларус-892, ВАЗ 21214, CASE IH MAXXUM 340, RENAULT KANGOO1461, ЗИЛ 431412, СЗАП 8551-02",90482015,700000,10543071,1144,25660979
" Голова Чутівської районної ради Полтавської області , Чутівська районна рада Полтавської області",филенко володимир михайлович,00dbb3c1-051b-4513-930e-5498649ae304,1,"Беларус-892, T-150K-09, МТЗ-82, Беларус-892, Беларус-892, Белорус-892, ВАЗ  21214, ЗПТС-12, RENAULT KANGOO1461, SKODA OCTAVIA A5AMBIENTE, Беларус-892, Lexus  LX 570, CASE IH AXIAL-FLOW 2388, FORTSCHRITT E-281, ЗИЛ 554М, Т-150К-09, ХТЗ-17021, ЗИЛ 431412, МТЗ-80, CASE ІHMAXXUM340, RENAULT KANGOO1461, МТЗ-80Л, Т-156, КАВЗ 3976, ЗИЛ 431410, CLASS JAGUAR860, ПС 10, Беларус-892, МТЗ-80Л, RENAULT KANGOO1461, RENAULT KANGOO1870, CASE  IH MAXXUM 125, КАМАЗ 45144, КАМАЗ 53212, Т-150К-09, Беларус-892, Беларус-1221.2, CASE AFX 8120, ХТЗ-17021, ВАЗ 212140-120-40, ВАЗ 21214 ЗНГ, ВАЗ 21214-126-20, ВАЗ 210994, КАВЗ 685, MERCEDES-BENZ GL500, МТЗ-80, КАМАЗ 55102, МТЗ-80Л, ХТЗ-17021, ЗИЛ 133ГЯ, RENAULT KANGOO1461, ГАЗ-66, СЗАП 8551-02, ГАЗ 33076, МТЗ-80Л, HOLMER",90482015,700000,10841508,1144,25879109
