,created_date,name,office,position,uuid,Декларант/активи у дорогоцінних (банківських) металах/UAH,Декларант/активи у дорогоцінних (банківських) металах/USD,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/USD,Декларант/готівкові кошти/BGN,Декларант/готівкові кошти/CAD,Декларант/готівкові кошти/CHF,Декларант/готівкові кошти/CNY,Декларант/готівкові кошти/EUR,Декларант/готівкові кошти/GBP,Декларант/готівкові кошти/GEL,Декларант/готівкові кошти/HKD,Декларант/готівкові кошти/HUF,Декларант/готівкові кошти/JPY,Декларант/готівкові кошти/NOK,Декларант/готівкові кошти/PLN,Декларант/готівкові кошти/QAR,Декларант/готівкові кошти/RUB,Декларант/готівкові кошти/SAR,Декларант/готівкові кошти/UAH,Декларант/готівкові кошти/USD,"Декларант/кошти, позичені третім особам/EUR","Декларант/кошти, позичені третім особам/GBP","Декларант/кошти, позичені третім особам/UAH","Декларант/кошти, позичені третім особам/USD","Декларант/кошти, розміщені на банківських рахунках/CAD","Декларант/кошти, розміщені на банківських рахунках/CHF","Декларант/кошти, розміщені на банківських рахунках/DKK","Декларант/кошти, розміщені на банківських рахунках/EUR","Декларант/кошти, розміщені на банківських рахунках/GBP","Декларант/кошти, розміщені на банківських рахунках/GEL","Декларант/кошти, розміщені на банківських рахунках/RUB","Декларант/кошти, розміщені на банківських рахунках/UAH","Декларант/кошти, розміщені на банківських рахунках/USD",Декларант/інше/EUR,Декларант/інше/RUB,Декларант/інше/UAH,Декларант/інше/USD,Родина/активи у дорогоцінних (банківських) металах/UAH,Родина/активи у дорогоцінних (банківських) металах/USD,Родина/внески до кредитних спілок та інших небанківських фінансових установ/EUR,Родина/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Родина/внески до кредитних спілок та інших небанківських фінансових установ/USD,Родина/готівкові кошти/CAD,Родина/готівкові кошти/CHF,Родина/готівкові кошти/EUR,Родина/готівкові кошти/GBP,Родина/готівкові кошти/HUF,Родина/готівкові кошти/NOK,Родина/готівкові кошти/PLN,Родина/готівкові кошти/RUB,Родина/готівкові кошти/UAH,Родина/готівкові кошти/USD,"Родина/кошти, позичені третім особам/EUR","Родина/кошти, позичені третім особам/UAH","Родина/кошти, позичені третім особам/USD","Родина/кошти, розміщені на банківських рахунках/CAD","Родина/кошти, розміщені на банківських рахунках/CHF","Родина/кошти, розміщені на банківських рахунках/EUR","Родина/кошти, розміщені на банківських рахунках/GBP","Родина/кошти, розміщені на банківських рахунках/RUB","Родина/кошти, розміщені на банківських рахунках/SEK","Родина/кошти, розміщені на банківських рахунках/UAH","Родина/кошти, розміщені на банківських рахунках/USD",Родина/інше/EUR,Родина/інше/RUB,Родина/інше/UAH,Родина/інше/USD
99875,2016-10-28 0:00:00,Іванов Андрій Олександрович,Прокуратура Миколаївської області, відділ нагляду за додержанням законів органами фіскальної служби управління нагляду у кримінальному провадженні,91404908-1f18-47a1-9c9a-0b31a8c453fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94520,2016-10-25 0:00:00,Вудвуд Андрій Мирославович,Прокуратура Чернівецької області, Відділ нагляду за додержанням законів територіальними органами поліції при провадженні досудового розслідування та підтримання державного обвинувачення ,03ac5aed-ff01-4261-a1c0-bb1f106618da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9832,2016-10-28 0:00:00,Земсков Ігор Сергійович,в 2015 році прокуратура Кіровоградської області - відділ процесуального керівництва, з 16.02.2016 Генеральна прокуратура України - відділ криміналістичного супроводження досудового розслідування у кримінальних справах Департаменту спецрозслідувань,f7096b39-5ce6-474d-9987-f0d3d56221df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5940,2016-10-24 0:00:00,Перов Андрій Вікторович, Прокуратура Луганської області, начальник відділу нагляду за додержанням законів при розслідуванні злочинів проти життя управління нагляду у кримінальному провадженні прокуратури Луганської області,abbd3e56-176f-4f86-ba59-1f47fc3ab0f8,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43879,2016-10-28 0:00:00,Візнюк Олександр Петрович,війсьокова прокуратура Львівськго гарнізону Західного регіону України, перший заступник прокурора Львівського гарнізону,6d2b7001-5721-495c-9ccc-2b35b430efb7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74425,2016-10-26 0:00:00,Щербан Василь Ярославович,"Генеральна прокуратура України, управління внутрішньої безпеки та захисту працівників прокуратури ", прокурор відділу запобігання правопорушенням у територіальних прокуратурах (з місцем дислокації у прокуратурі Львівської області) ,29241b7d-a964-4d81-a44e-aa0297301e09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17127,2016-10-25 0:00:00,Кузів Ігор Васильович,Прокуратура Запорізької області," прокурор відділу нагляду за додержанням законів органами, які ведуть боротьбу з корупційними злочинами, та процесуального керівництва ",cc417961-860e-494e-b8d0-119096e54999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20358,2016-10-24 0:00:00,Хомич Сергій Сергійович,Прокуратура Волинської області , прокурор відділу нагляду за додержанням законів при виконанні судових рішень у кримінальних провадженнях та інших заходів примусового характеру ,7ec951c2-4cfc-4357-8be9-7ee82cdb6728,,,,,,,,,,,,,,,,,,,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12722,2016-10-28 0:00:00,Джунь Віктор Васильович,Прокуратура Житомирської області, прокурор відділу нагляду за додержанням законів територіальними органами поліції при провадженні досудового розслідування та підтриманням державного обвинувачення прокуратури області,838299ff-b710-4abf-9f00-6349d9c3b0b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94511,2016-10-28 0:00:00,Процик Еліна Ростиславівна,прокуратура Тернопільської області, прокурор відділу організації представництва на захист інтересів громадянина або держави управління представництва захисту інтересів громадян та держави в суді прокуратури Тернопільської області,5f0dde23-eb78-4b30-a609-581ce7b09bff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
