number,created_date,name,office,position,uuid,Декларант/активи у дорогоцінних (банківських) металах/UAH,Декларант/активи у дорогоцінних (банківських) металах/USD,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/USD,Декларант/готівкові кошти/BGN,Декларант/готівкові кошти/CAD,Декларант/готівкові кошти/CHF,Декларант/готівкові кошти/CNY,Декларант/готівкові кошти/EUR,Декларант/готівкові кошти/GBP,Декларант/готівкові кошти/GEL,Декларант/готівкові кошти/HKD,Декларант/готівкові кошти/HUF,Декларант/готівкові кошти/JPY,Декларант/готівкові кошти/NOK,Декларант/готівкові кошти/PLN,Декларант/готівкові кошти/QAR,Декларант/готівкові кошти/RUB,Декларант/готівкові кошти/SAR,Декларант/готівкові кошти/UAH,Декларант/готівкові кошти/USD,"Декларант/кошти, позичені третім особам/EUR","Декларант/кошти, позичені третім особам/GBP","Декларант/кошти, позичені третім особам/UAH","Декларант/кошти, позичені третім особам/USD","Декларант/кошти, розміщені на банківських рахунках/CAD","Декларант/кошти, розміщені на банківських рахунках/CHF","Декларант/кошти, розміщені на банківських рахунках/DKK","Декларант/кошти, розміщені на банківських рахунках/EUR","Декларант/кошти, розміщені на банківських рахунках/GBP","Декларант/кошти, розміщені на банківських рахунках/GEL","Декларант/кошти, розміщені на банківських рахунках/RUB","Декларант/кошти, розміщені на банківських рахунках/UAH","Декларант/кошти, розміщені на банківських рахунках/USD",Декларант/інше/EUR,Декларант/інше/RUB,Декларант/інше/UAH,Декларант/інше/USD,Родина/активи у дорогоцінних (банківських) металах/UAH,Родина/активи у дорогоцінних (банківських) металах/USD,Родина/внески до кредитних спілок та інших небанківських фінансових установ/EUR,Родина/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Родина/внески до кредитних спілок та інших небанківських фінансових установ/USD,Родина/готівкові кошти/CAD,Родина/готівкові кошти/CHF,Родина/готівкові кошти/EUR,Родина/готівкові кошти/GBP,Родина/готівкові кошти/HUF,Родина/готівкові кошти/NOK,Родина/готівкові кошти/PLN,Родина/готівкові кошти/RUB,Родина/готівкові кошти/UAH,Родина/готівкові кошти/USD,"Родина/кошти, позичені третім особам/EUR","Родина/кошти, позичені третім особам/UAH","Родина/кошти, позичені третім особам/USD","Родина/кошти, розміщені на банківських рахунках/CAD","Родина/кошти, розміщені на банківських рахунках/CHF","Родина/кошти, розміщені на банківських рахунках/EUR","Родина/кошти, розміщені на банківських рахунках/GBP","Родина/кошти, розміщені на банківських рахунках/RUB","Родина/кошти, розміщені на банківських рахунках/SEK","Родина/кошти, розміщені на банківських рахунках/UAH","Родина/кошти, розміщені на банківських рахунках/USD",Родина/інше/EUR,Родина/інше/RUB,Родина/інше/UAH,Родина/інше/USD
94478,2016-10-28 0:00:00,Антошків Ярослав Анатолійович,Віньковецький районний суд Хмельницької області, Керівник апарату суду,4be1dfd8-c367-4736-83e7-6270f474517b,,,,,,,,,,,,,,,,,,,,,16500,,,,,,,,,,,,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59133,2016-10-24 0:00:00,Биченко Олександр Анатолійович,Городищенський районний суд Черкаської області, Керівник апарату суду,3970607c-bf47-4ade-a3b3-93e57b95edae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44426,2016-10-27 0:00:00,Колотило Онуфрій Олександрович,апеляційний суд Чернівецької області," суддя апеляційного суду Чернівецької області, секретар судової палати з розгляду кримінальних справ",1a8fb89c-8478-4130-beb4-9f16c0e9aa9e,,,,,,,,,3000,,,,,,,,,,,100000,5000,,,,,,,,3706,,,,55835,20170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60085,,,,,
9943,2016-10-24 0:00:00,Семенова Людмила Михайлівна, Жовтневий районний суд Миколаївської області, Суддя Жовтневого районного суду Миколаївської області,f4915019-329f-454b-b01e-dff3c3295215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70576,2016-10-23 0:00:00,Березовський Олексій Дмитрович,Городнянський районний суд Чернігівської області ," суддя, голова суду ",008f531a-3a10-4600-afee-b2e72bdcb1b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100455,2016-10-28 0:00:00,Самсін Маркіян Леонович,"Кам""янка-Бузький районний суд Львівської області",В.О. голови суду,a4a6ad0e-766d-40ad-8dca-35498c8498a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81393,2016-10-21 0:00:00,Матійчак Дарія Юріївна,Косівський районний суд Івано-Франківської області ,в.о.керівника апарату Косівського районного суду,b3f9f201-7238-4db8-a7c6-016a68a95ba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27115,2016-10-28 0:00:00,Розум Алла Сергіївна,Херсонський міський суд Херсонської області,виконуючий обов'язки керівника апарату суду,f8bb5f7b-087a-4c4a-a0fe-9d4b8b1a08a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28842,2016-10-28 0:00:00,Севастьянова Тетяна Олександрівна,Херсонський міський суд Херсонської області,"виконуючий обов""язки заступника керівника апарату суду",188addf1-9740-415d-827d-3d5b8fab2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443,2016-10-29 0:00:00,Сбітнєв Володимир Єгорович,Артемівський районний суд міста Луганська,Виконуючий обовя'зки голови Артемівського суду міста Луганська,64c1fe45-acb8-49e5-b052-0b6cb74ec2d0,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,
